index,Rg_Voltage(mV)(Ch1_Ch2),Gen_Voltage(mV)(Ch2),GS_Voltage(mV)(Ch2),Rn_Voltage(mV)(Ch3),DS_Voltage(mV)(Ch4),Rg_Voltage(mV)(Ch1_Ch2_no_Un),GS_Voltage(mV)(Ch1_Ch2_no_Un)
316,80.0,2560.0,2560.0,8480.0,0.0,0.0,2320.0
317,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
318,0.0,2480.0,2560.0,8400.0,0.0,0.0,2240.0
319,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
320,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
321,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
322,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
323,0.0,2480.0,2560.0,8400.0,0.0,80.0,2240.0
324,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
325,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
326,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
327,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
328,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
329,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
330,0.0,2480.0,2480.0,8480.0,0.0,0.0,2240.0
331,0.0,2560.0,2560.0,8480.0,80.0,80.0,2240.0
332,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
333,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
334,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
335,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
336,0.0,2560.0,2480.0,8480.0,0.0,0.0,2240.0
337,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
338,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
339,0.0,2560.0,2560.0,8480.0,0.0,160.0,2240.0
340,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
341,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
342,0.0,2560.0,2560.0,8480.0,0.0,0.0,2320.0
343,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
344,0.0,2480.0,2560.0,8480.0,0.0,80.0,2240.0
345,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
346,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
347,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
348,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
349,0.0,2480.0,2560.0,8480.0,0.0,0.0,2320.0
350,0.0,2560.0,2480.0,8400.0,0.0,80.0,2320.0
351,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
352,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
353,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
354,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
355,0.0,2480.0,2560.0,8480.0,0.0,0.0,2320.0
356,0.0,2560.0,2560.0,8480.0,-80.0,80.0,2320.0
357,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
358,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
359,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
360,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
361,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
362,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
363,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
364,0.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
365,0.0,2560.0,2480.0,8480.0,0.0,80.0,2240.0
366,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
367,80.0,2560.0,2560.0,8480.0,0.0,80.0,2320.0
368,0.0,2560.0,2560.0,8480.0,0.0,80.0,2240.0
369,0.0,2560.0,2480.0,8480.0,0.0,0.0,2320.0
370,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
371,0.0,2480.0,2480.0,8480.0,0.0,80.0,2320.0
372,0.0,2480.0,2560.0,8480.0,0.0,80.0,2320.0
373,0.0,2480.0,2480.0,8480.0,-80.0,80.0,2320.0
374,0.0,2480.0,2480.0,8480.0,0.0,80.0,2240.0
375,0.0,2560.0,2480.0,8480.0,0.0,80.0,2320.0
